# Some extra glyph names that were encountered
.notdef;FFFD
.null;0000
CR;000D
# ============================================== Redefine Greek
Delta;0394
Omega;03A9
# mu;00B5
mu;03BC
# ============================================== Ligatures
f_f;FB00
f_i;FB01
f_l;FB02
f_f_i;FB03
f_f_l;FB04
T_h;00540068
t_t;00740074
f_t;00660074
ghost;200B
# =======================================================================================================
# COMPUTER MODERN FONTS
# ============================================== CMEX
vextendsingle;23D0
vextenddouble;2016
radicalvertex;23D0
arrowvertex;23D0
arrowvertexdbl;2016
# ============================================== CMSY
precedesequal;2AAF
followsequal;2AB0
succeedsequal;2AB0
intersectionsq;2A05
unionsq;2A06
unionsqdisplay;2A06
unionsqtext;2A06
# ============================================== wasy
lightning;21AF
leftarrowhead;02C2
rightarrowhead;02C3
uparrowhead;02C4
downarrowhead;02C5
AC;223F
APLup;25B3
lhd;22B2
unlhd;22B4
rhd;22B3
unrhd;22B5
recorder;2315
phone;260E
checked;2713
pointer;21E8
bell;1F514
eigthnote;266A
halfnote;1D15E
fullnote;1D15D
twonotes;266B
LHD;25C4
RHD;25BA
ascnode;260A
descnode;260B
invdiameter;2349
logof;235F
invneg;2310
clock;1F552
varprop;221D
varangle;2222
diameter;2300
CIRCLE;25CF
rightturn;21BB
leftturn;21BA
leftmoon;263E
rightmoon;263D
mercury;263F
smiley;263A
blacksmiley;263B
frownie;2639
agemO;2127
Bowtie;22C8
XBox;22A0
kreuz;2720
hexagon;2394
octagon;1F6D1
varhexagon;2B21
sqsubset;228F
sqsupset;2290
apprle;2272
apprge;2273
VHF;224B
hexstar;2736
varhexstar;2736
davidsstar;2721
pentagon;2B20
pentastar;2605
APLdown;25BD
LEFTCIRCLE;25D6
RIGHTCIRCLE;25D7
Leftcircle;263E
Rightcircle;263D
UParrow;25B2
DOWNarrow;25BC
Paragraph;00A7
zh;0292
gluonelement;27B0
gluonbelement;25DC
gluoneelement;25DD
applecmd;2318
inve;0259
conjunction;260C
opposition;260D
jupiter;2643
saturn;2644
uranus;26E2
neptun;2646
pluto;2647
sagittarius;2650
permil;2030
dh;00F0
openo;0254
ataribox;233A
APLuparrowbox;2350
APLdownarrowbox;2357
APLleftarrowbox;2347
APLrightarrowbox;2348
varint;222B
iint;222C
iiint;222D
varoint;222E
oiint;222F
dispvarint;222B
dispiint;222C
dispiiint;222D
dispvaroint;222E
dispoiint;222F
brokenvert;00A6
APLinput;235E
APLbox;2395
APLcomment;235D
# ============================================== txsyc (from newtx package)
mapsfrom;27FB
Mapsto;2907
Mapsfrom;2906
mmapsto;2AE6
mmapsfrom;2AE3
Mmapsto;22AB
Mmapsfrom;2AE5
medcircle;25CB
medbullet;25CF
circlebackslash;29B8
parallel1;2225
nparallel;2226
nparallel1;2226
colonapprox;003A2248
colonsim;003A223C
coloncolonapprox;22372248
coloncolonsim;2237223C
doteq;2250
multimapinv;27DC
multimapboth;29DF
solidmultimap;002D2022
solidmultimapinv;2022002D
solidmultimapboth;2022002D2022
rsolidmultimapboth;22B6
lsolidmultimapboth;22B7
forcesextra;22AB
simequal;2245
precedesordblequal;2AB3
followsordblequal;2AB4
notprecedesorsimilar;227E0338
notfollowsorsimilar;227F0338
